codepoint,char,middle_chinese,initial,final,tone,old_initial,old_nucleus,old_coda
20348,佼,ɦɰæu³³,ɦɰæ,u,³³,kr,e,̠wʔ
20349,佽,tsi³¹,ts,i,³¹,sh,i,s
20350,佾,jit³̲³̲,j,it̲̲,³,b,ə,l
20351,使,ʂɨ³¹,ʂ,ɨ,³¹,sqr,ɯ,ʔ
20352,侀,ɦeŋ³³,ɦ,eŋ,³³,ɡ,e,̠ŋ
20353,侁,ʂɪn³³,ʂ,ɪn,³³,sr,i,n
20354,侂,tʰɑk³̲³̲,tʰ,ɑk̲̲,³,kh‧l,a,̠ɡ
20355,侃,kʰɑn³¹,kʰ,ɑn,³¹,kh,a,̠ns
20356,侄,tɕi³¹,tɕ,i,³¹,klj,i,ɡ
20357,侅,kʰəi³³,kʰ,əi,³³,ɡr,ɯ,̠ʔ
20358,來,lɨk³̲³̲,l,ɨk̲̲,³,ɡ,ə,r
20359,侇,ji³³,j,i,³³,l,i,
20360,侈,ɕiᴇ³⁵,ɕ,iᴇ,³⁵,khlj,a,lʔ
20361,侉,ɦu̯o³³,ɦ,u̯o,³³,q,a,̠ls
20362,侊,kʷɰæŋ³³,kʷɰæŋ,,³³,kʷ,a,̠ŋ
20363,例,liᴇt³̲³̲,l,iᴇt̲̲,³,r,e,ds
20364,侌,ʔɰim³³,ʔɰ,im,³³,,,
20365,侍,dʑɨ³¹,dʑ,ɨ,³¹,ɡlj,ɯ,s
20366,侎,miᴇ³⁵,m,iᴇ,³⁵,m,e,ʔ
20367,侏,ʈɨu³³,ʈ,ɨu,³³,tj,o,
20368,侐,hʷi³¹,hʷ,i,³¹,qhʷ,i,ɡs
20369,侑,ɦu̯oi³⁵,ɦ,u̯oi,³⁵,ɢʷ,ɯ,s
20370,侒,ʔɑn³³,ʔ,ɑn,³³,q,a,̠n
20371,侓,lu̯ot³̲³̲,l,u̯ot̲̲,³,,,
20372,侔,mɨu³³,m,ɨu,³³,m,ɯ,
20373,侕,ȵɨ³³,ȵ,ɨ,³³,,,
20374,侖,lu̯on³³,l,u̯on,³³,ɡ,ə,r
20375,侗,tʰuŋ³³,tʰ,uŋ,³³,th,o,̠ŋ
